neighbourhood,date,count,month
Allston,2007-04-24,4,April
Allston,2007-04-27,2,April
Allston,2007-04-28,6,April
Allston,2007-04-29,1,April
Allston,2007-04-30,3,April
Allston,2007-05-01,1,May
Allston,2007-05-02,3,May
Allston,2007-05-03,4,May
Allston,2007-05-04,1,May
Allston,2007-05-05,2,May
Allston,2007-05-07,1,May
Allston,2007-05-08,3,May
Allston,2007-05-09,2,May
Allston,2007-05-10,1,May
Allston,2007-05-11,2,May
Allston,2007-05-12,3,May
Allston,2007-05-13,1,May
Allston,2007-05-14,3,May
Allston,2007-05-15,2,May
Allston,2007-05-16,3,May
Allston,2007-05-17,4,May
Allston,2007-05-18,10,May
Allston,2007-05-20,3,May
Allston,2007-05-21,4,May
Allston,2007-05-22,5,May
Allston,2007-05-23,1,May
Allston,2007-05-24,1,May
Allston,2007-05-26,1,May
Allston,2007-05-27,1,May
Allston,2007-05-28,2,May
Allston,2007-05-29,4,May
Allston,2007-05-30,2,May
Allston,2007-05-31,2,May
Allston,2007-06-01,2,June
Allston,2007-06-02,1,June
Allston,2007-06-03,1,June
Allston,2007-06-05,2,June
Allston,2007-06-06,1,June
Allston,2007-06-09,2,June
Allston,2007-06-11,2,June
Allston,2007-06-12,3,June
Allston,2007-06-14,1,June
Allston,2007-06-15,2,June
Allston,2007-06-16,1,June
Allston,2007-06-19,1,June
Allston,2007-06-20,1,June
Allston,2007-06-21,4,June
Allston,2007-06-22,2,June
Allston,2007-06-23,3,June
Allston,2007-06-24,2,June
Allston,2007-06-25,3,June
Allston,2007-06-26,2,June
Allston,2007-06-27,4,June
Allston,2007-06-28,2,June
Allston,2007-06-29,3,June
Allston,2007-06-30,1,June
Allston,2007-07-01,1,July
Allston,2007-07-02,2,July
Allston,2007-07-03,1,July
Allston,2007-07-04,1,July
Allston,2007-07-05,3,July
Allston,2007-07-06,2,July
Allston,2007-07-07,1,July
Allston,2007-07-08,1,July
Allston,2007-07-09,3,July
Allston,2007-07-10,3,July
Allston,2007-07-11,2,July
Allston,2007-07-12,1,July
Allston,2007-07-13,1,July
Allston,2007-07-14,1,July
Allston,2007-07-15,3,July
Allston,2007-07-16,1,July
Allston,2007-07-19,1,July
Allston,2007-07-21,1,July
Allston,2007-07-22,3,July
Allston,2007-07-24,2,July
Allston,2007-07-25,1,July
Allston,2007-07-26,6,July
Allston,2007-07-28,1,July
Allston,2007-07-29,1,July
Allston,2007-07-30,3,July
Allston,2007-08-02,2,August
Allston,2007-08-03,3,August
Allston,2007-08-04,2,August
Allston,2007-08-05,1,August
Allston,2007-08-06,1,August
Allston,2007-08-07,6,August
Allston,2007-08-08,2,August
Allston,2007-08-09,1,August
Allston,2007-08-10,1,August
Allston,2007-08-11,2,August
Allston,2007-08-12,1,August
Allston,2007-08-13,1,August
Allston,2007-08-14,2,August
Allston,2007-08-15,1,August
Allston,2007-08-16,1,August
Allston,2007-08-17,1,August
Allston,2007-08-18,2,August
Allston,2007-08-19,2,August
Allston,2007-08-20,2,August
Allston,2007-08-21,2,August
Allston,2007-08-22,1,August
Allston,2007-08-23,2,August
Allston,2007-08-26,2,August
Allston,2007-08-27,1,August
Allston,2007-08-28,2,August
Allston,2007-08-30,1,August
Allston,2007-08-31,1,August
Allston,2007-09-02,2,September
Allston,2007-09-03,1,September
Allston,2007-09-04,2,September
Allston,2007-09-05,1,September
Allston,2007-09-06,2,September
Allston,2007-09-07,1,September
Allston,2007-09-08,2,September
Allston,2007-09-11,2,September
Allston,2007-09-12,3,September
Allston,2007-09-13,2,September
Allston,2007-09-15,3,September
Allston,2007-09-16,1,September
Allston,2007-09-17,2,September
Allston,2007-09-18,2,September
Allston,2007-09-19,2,September
Allston,2007-09-20,4,September
Allston,2007-09-21,4,September
Allston,2007-09-22,2,September
Allston,2007-09-23,2,September
Allston,2007-09-24,1,September
Allston,2007-09-25,3,September
Allston,2007-09-26,2,September
Allston,2007-09-27,1,September
Allston,2007-09-28,1,September
Allston,2007-09-29,2,September
Allston,2007-09-30,1,September
Allston,2007-10-01,1,October
Allston,2007-10-02,2,October
Allston,2007-10-03,2,October
Allston,2007-10-04,3,October
Allston,2007-10-05,3,October
Allston,2007-10-06,1,October
Allston,2007-10-07,1,October
Allston,2007-10-08,1,October
Allston,2007-10-09,1,October
Allston,2007-10-11,1,October
Allston,2007-10-12,2,October
Allston,2007-10-14,3,October
Allston,2007-10-15,2,October
Allston,2007-10-16,3,October
Allston,2007-10-18,2,October
Allston,2007-10-23,1,October
Allston,2007-10-24,1,October
Allston,2007-10-25,4,October
Allston,2007-10-26,1,October
Allston,2007-10-27,1,October
Allston,2007-10-28,1,October
Allston,2007-10-29,2,October
Allston,2007-10-30,4,October
Allston,2007-10-31,2,October
Allston,2007-11-01,1,November
Allston,2007-11-02,1,November
Allston,2007-11-03,2,November
Allston,2007-11-05,1,November
Allston,2007-11-06,1,November
Allston,2007-11-09,2,November
Allston,2007-11-10,1,November
Allston,2007-11-11,1,November
Allston,2007-11-12,8,November
Allston,2007-11-14,3,November
Allston,2007-11-15,2,November
Allston,2007-11-16,3,November
Allston,2007-11-19,1,November
Allston,2007-11-21,1,November
Allston,2007-11-23,1,November
Allston,2007-11-25,1,November
Allston,2007-11-26,3,November
Allston,2007-11-28,1,November
Allston,2007-11-29,1,November
Allston,2007-11-30,2,November
Allston,2007-12-02,1,December
Allston,2007-12-04,1,December
Allston,2007-12-07,2,December
Allston,2007-12-08,1,December
Allston,2007-12-10,4,December
Allston,2007-12-11,5,December
Allston,2007-12-13,1,December
Allston,2007-12-15,2,December
Allston,2007-12-16,1,December
Allston,2007-12-18,1,December
Allston,2007-12-19,2,December
Allston,2007-12-20,1,December
Allston,2007-12-21,3,December
Allston,2007-12-22,1,December
Allston,2007-12-23,1,December
Allston,2007-12-24,2,December
Allston,2007-12-27,1,December
Allston,2007-12-30,1,December
Allston,2007-12-31,3,December
Allston,2008-01-02,4,January
Allston,2008-01-03,1,January
Allston,2008-01-05,1,January
Allston,2008-01-06,3,January
Allston,2008-01-07,6,January
Allston,2008-01-09,1,January
Allston,2008-01-10,1,January
Allston,2008-01-11,5,January
Allston,2008-01-12,1,January
Allston,2008-01-13,3,January
Allston,2008-01-14,3,January
Allston,2008-01-15,3,January
Allston,2008-01-17,1,January
Allston,2008-01-18,1,January
Allston,2008-01-19,1,January
Allston,2008-01-21,2,January
Allston,2008-01-22,2,January
Allston,2008-01-24,4,January
Allston,2008-01-26,4,January
Allston,2008-01-28,2,January
Allston,2008-01-30,2,January
Allston,2008-02-04,3,February
Allston,2008-02-05,5,February
Allston,2008-02-06,1,February
Allston,2008-02-07,1,February
Allston,2008-02-08,3,February
Allston,2008-02-09,1,February
Allston,2008-02-11,3,February
Allston,2008-02-12,1,February
Allston,2008-02-14,2,February
Allston,2008-02-16,2,February
Allston,2008-02-19,1,February
Allston,2008-02-22,1,February
Allston,2008-02-23,1,February
Allston,2008-02-25,1,February
Allston,2008-02-26,2,February
Allston,2008-02-27,5,February
Allston,2008-02-28,1,February
Allston,2008-02-29,2,February
Allston,2008-03-01,11,March
Allston,2008-03-02,3,March
Allston,2008-03-04,3,March
Allston,2008-03-05,3,March
Allston,2008-03-06,2,March
Allston,2008-03-07,1,March
Allston,2008-03-08,2,March
Allston,2008-03-09,2,March
Allston,2008-03-10,1,March
Allston,2008-03-11,2,March
Allston,2008-03-12,1,March
Allston,2008-03-13,2,March
Allston,2008-03-15,1,March
Allston,2008-03-16,2,March
Allston,2008-03-17,3,March
Allston,2008-03-18,2,March
Allston,2008-03-19,1,March
Allston,2008-03-20,4,March
Allston,2008-03-22,1,March
Allston,2008-03-27,2,March
Allston,2008-03-28,2,March
Allston,2008-03-29,1,March
Allston,2008-03-31,1,March
Allston,2008-04-02,3,April
Allston,2008-04-03,1,April
Allston,2008-04-07,4,April
Allston,2008-04-12,2,April
Allston,2008-04-14,2,April
Allston,2008-04-15,1,April
Allston,2008-04-17,1,April
Allston,2008-04-19,1,April
Allston,2008-04-20,1,April
Allston,2008-04-21,2,April
Allston,2008-04-22,2,April
